epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3828.96,1.00187,0.79668,1.2454,0.78794,0.74868,0.77096,0.4286,1.48828,1.09944,1.56379,0.000676802,0.000676802,0.000676802
62,3893.1,0.99979,0.77773,1.23546,0.80074,0.72121,0.77247,0.454,1.45351,1.06623,1.54611,0.000660299,0.000660299,0.000660299
63,3954.71,1.00302,0.78192,1.23064,0.82861,0.67881,0.76383,0.44202,1.49052,1.05911,1.57479,0.000643795,0.000643795,0.000643795
64,4015.74,0.9578,0.75242,1.22168,0.8108,0.73258,0.77067,0.46562,1.45297,1.05384,1.55805,0.000627292,0.000627292,0.000627292
65,4079.46,0.97508,0.744,1.22016,0.8599,0.72689,0.78635,0.47194,1.42774,1.03656,1.53756,0.000610789,0.000610789,0.000610789
66,4140.83,0.96753,0.74448,1.21696,0.86264,0.71495,0.80313,0.45721,1.46685,1.02507,1.54504,0.000594286,0.000594286,0.000594286
67,4203.66,0.97649,0.75107,1.22155,0.82355,0.75702,0.78443,0.48418,1.44793,1.03777,1.56081,0.000577782,0.000577782,0.000577782
68,4265.3,0.93953,0.7155,1.1866,0.8701,0.77299,0.85513,0.48666,1.38327,0.99841,1.49153,0.000561279,0.000561279,0.000561279
69,4331.69,0.94112,0.71891,1.20751,0.82852,0.74616,0.8167,0.48197,1.41586,0.97607,1.50519,0.000544776,0.000544776,0.000544776
70,4393.74,0.93242,0.69905,1.19412,0.87745,0.76477,0.82767,0.4782,1.38344,0.98091,1.5168,0.000528272,0.000528272,0.000528272
71,4457.35,0.93688,0.69072,1.19799,0.83413,0.73824,0.8131,0.48795,1.39367,1.00342,1.51736,0.000511769,0.000511769,0.000511769
72,4518.58,0.92963,0.70185,1.1906,0.83746,0.7428,0.81724,0.47629,1.44983,0.99342,1.52823,0.000495266,0.000495266,0.000495266
73,4582.46,0.91006,0.68188,1.19037,0.84838,0.7447,0.80212,0.48792,1.41207,0.98339,1.53023,0.000478762,0.000478762,0.000478762
74,4645.85,0.91105,0.68727,1.18999,0.86038,0.7272,0.79171,0.47875,1.42396,0.98629,1.55103,0.000462259,0.000462259,0.000462259
75,4709.08,0.91927,0.68243,1.18048,0.87021,0.73712,0.83286,0.49461,1.40156,1.00381,1.5358,0.000445756,0.000445756,0.000445756
76,4775.24,0.89479,0.67201,1.17524,0.81182,0.72879,0.77585,0.47438,1.4161,1.01223,1.54202,0.000429253,0.000429253,0.000429253
77,4838.3,0.89416,0.67491,1.17943,0.88746,0.71098,0.81005,0.4735,1.43547,1.02632,1.55672,0.000412749,0.000412749,0.000412749
78,4899.64,0.87894,0.66253,1.15404,0.86653,0.7116,0.80149,0.48813,1.4176,0.9784,1.53693,0.000396246,0.000396246,0.000396246
79,4963.63,0.89962,0.67066,1.17443,0.8461,0.7607,0.82075,0.48661,1.43099,0.99945,1.56156,0.000379743,0.000379743,0.000379743
80,5027.19,0.87128,0.64175,1.15768,0.81174,0.73645,0.77475,0.46668,1.40854,1.02383,1.56007,0.000363239,0.000363239,0.000363239
81,5089.86,0.86156,0.63958,1.1548,0.82167,0.79033,0.81639,0.49325,1.37804,0.98658,1.51312,0.000346736,0.000346736,0.000346736
82,5152.29,0.86447,0.64966,1.15082,0.81856,0.72671,0.80474,0.47201,1.43706,0.99457,1.52631,0.000330233,0.000330233,0.000330233
83,5213.23,0.85088,0.63065,1.14175,0.82691,0.77659,0.83834,0.49663,1.39836,0.93758,1.53983,0.000313729,0.000313729,0.000313729
84,5280.2,0.86509,0.64439,1.15681,0.77544,0.78411,0.81396,0.49014,1.3957,0.95733,1.52595,0.000297226,0.000297226,0.000297226
85,5341.23,0.84435,0.62783,1.14855,0.76595,0.78967,0.82267,0.49774,1.40245,0.98937,1.53447,0.000280723,0.000280723,0.000280723
86,5405.15,0.8398,0.61028,1.14512,0.8459,0.7706,0.82609,0.48799,1.41573,0.94153,1.53694,0.00026422,0.00026422,0.00026422
87,5466.06,0.83471,0.61701,1.13702,0.86448,0.73371,0.82307,0.50579,1.38036,0.92199,1.49488,0.000247716,0.000247716,0.000247716
88,5528.62,0.82291,0.60705,1.1388,0.86678,0.75349,0.84135,0.50464,1.39825,0.94501,1.53937,0.000231213,0.000231213,0.000231213
